t_DVL,WX,WY,WZ,t_filter,PN,PE
t_DVL,WX,WY,WZ,t_filter,PN,PE
03:59.4,-0.463,0.258,0.006,03:59.4,51.31568782,15.06833106
03:59.6,-0.363,0.415,-0.023,03:59.6,51.42246162,15.05056343
03:59.8,-0.366,0.262,0.023,03:59.8,51.52884465,15.03555258
04:00.0,-0.359,0.304,-0.011,04:00.0,51.63464874,15.01824685
04:00.1,-0.321,0.265,0.037,04:00.1,51.71427699,15.00615633
04:00.4,-0.33,0.415,0.063,04:00.4,51.84481606,14.99296874
04:00.6,-0.341,0.293,0.134,04:00.6,51.94992889,14.9845449
04:00.7,-0.265,0.373,0.053,04:00.8,52.05293532,14.97915333
04:00.9,-0.217,0.306,0.081,04:00.9,52.15229885,14.97775902
04:01.1,-0.263,0.275,0.072,04:01.1,52.2500597,14.98068207
04:01.3,-0.204,0.398,0.108,04:01.3,52.34569648,14.98549162
04:01.5,-0.215,0.3,0.1,04:01.5,52.43980405,14.99329071
04:01.7,-0.313,0.269,0.043,04:01.7,52.53554765,15.00072119
04:01.9,-0.263,0.202,0.098,04:01.9,52.62640538,15.00886727
04:02.1,-0.225,0.374,0.106,04:02.1,52.71772633,15.01674046
04:02.3,-0.266,0.397,0.098,04:02.3,52.80968061,15.02350695
04:02.5,-0.2,0.286,0.061,04:02.5,52.91360182,15.03383376
04:02.7,-0.252,0.267,-0.011,04:02.7,53.01675668,15.03528777
04:02.9,-0.452,0.342,0.075,04:02.9,53.11036741,15.03920996
04:03.1,-0.225,0.339,0.011,04:03.1,53.18123095,15.04151175
04:03.3,-0.224,0.318,0.032,04:03.3,53.27615607,15.04073804
04:03.5,-0.247,0.275,0.043,04:03.5,53.37397519,15.03708575
04:03.7,-0.414,0.349,0.034,04:03.7,53.48869465,15.0290319
04:03.9,-0.343,0.241,0.039,04:03.9,53.59929683,15.02281217
04:04.1,-0.303,0.268,0.029,04:04.1,53.67429968,15.02219762
04:04.3,-0.332,0.286,0.058,04:04.3,53.78099687,15.01477395
04:04.5,-0.426,0.311,0.084,04:04.5,53.88918721,15.00624302
04:04.7,-0.305,0.265,0.061,04:04.7,53.99347889,14.99818748
04:04.9,-0.265,0.325,0.08,04:04.9,54.09655338,14.98963319
04:05.1,-0.295,0.306,0.112,04:05.1,54.19820001,14.98265861
04:05.3,-0.254,0.274,0.061,04:05.2,54.29787686,14.97831825
04:05.5,-0.511,0.254,0.09,04:05.4,54.39761078,14.97108719
04:05.6,-0.262,0.362,0.074,04:05.6,54.49578301,14.96368055
